,Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
169,182,Llama-3.1-8B,Baseline,12,6,Low,HIGHER,120
170,183,Llama-3.1-8B,Baseline,12,7,Low,HIGHER,120
171,184,Llama-3.1-8B,Baseline,12,8,Low,HIGHER,120
172,185,Llama-3.1-8B,Baseline,12,1,High,HIGHER,450
173,186,Llama-3.1-8B,Baseline,12,2,High,HIGHER,400
174,187,Llama-3.1-8B,Baseline,12,3,High,HIGHER,400
175,188,Llama-3.1-8B,Baseline,12,4,High,HIGHER,400
176,189,Llama-3.1-8B,Baseline,12,5,High,HIGHER,400
177,190,Llama-3.1-8B,Baseline,12,6,High,HIGHER,450
178,191,Llama-3.1-8B,Baseline,12,7,High,HIGHER,450
179,192,Llama-3.1-8B,Baseline,12,8,High,HIGHER,400
180,193,Llama-3.1-8B,Baseline,13,1,Low,HIGHER,25000000
181,194,Llama-3.1-8B,Baseline,13,2,Low,HIGHER,15000000
182,195,Llama-3.1-8B,Baseline,13,3,Low,HIGHER,25000000
183,196,Llama-3.1-8B,Baseline,13,4,Low,HIGHER,25000000
184,197,Llama-3.1-8B,Baseline,13,5,Low,HIGHER,15000000
185,198,Llama-3.1-8B,Baseline,13,6,Low,HIGHER,15000000
186,199,Llama-3.1-8B,Baseline,13,7,Low,HIGHER,15000000
187,200,Llama-3.1-8B,Baseline,13,8,Low,HIGHER,15000000
188,201,Llama-3.1-8B,Baseline,13,1,High,HIGHER,15000000
189,202,Llama-3.1-8B,Baseline,13,2,High,HIGHER,25000000
190,203,Llama-3.1-8B,Baseline,13,3,High,HIGHER,25000000
191,204,Llama-3.1-8B,Baseline,13,4,High,HIGHER,15000000
192,205,Llama-3.1-8B,Baseline,13,5,High,HIGHER,50000000
193,206,Llama-3.1-8B,Baseline,13,6,High,HIGHER,50000000
194,208,Llama-3.1-8B,Baseline,13,8,High,HIGHER,15000000
195,209,Llama-3.1-8B,Baseline,14,1,Low,HIGHER,2400
196,210,Llama-3.1-8B,Baseline,14,2,Low,HIGHER,2200
197,211,Llama-3.1-8B,Baseline,14,3,Low,HIGHER,2500
198,212,Llama-3.1-8B,Baseline,14,4,Low,HIGHER,2500
199,213,Llama-3.1-8B,Baseline,14,5,Low,HIGHER,2200
200,214,Llama-3.1-8B,Baseline,14,6,Low,HIGHER,2200
201,215,Llama-3.1-8B,Baseline,14,7,Low,HIGHER,2100
202,216,Llama-3.1-8B,Baseline,14,8,Low,HIGHER,2400
203,217,Llama-3.1-8B,Baseline,14,1,High,HIGHER,8500
204,218,Llama-3.1-8B,Baseline,14,2,High,HIGHER,8500
205,219,Llama-3.1-8B,Baseline,14,3,High,HIGHER,8500
206,220,Llama-3.1-8B,Baseline,14,4,High,HIGHER,7500
207,221,Llama-3.1-8B,Baseline,14,5,High,HIGHER,8000
208,222,Llama-3.1-8B,Baseline,14,6,High,HIGHER,6500
209,223,Llama-3.1-8B,Baseline,14,7,High,HIGHER,7500
210,224,Llama-3.1-8B,Baseline,14,8,High,HIGHER,7500
211,225,Llama-3.1-8B,Baseline,15,1,Low,HIGHER,550
212,226,Llama-3.1-8B,Baseline,15,2,Low,HIGHER,550
213,227,Llama-3.1-8B,Baseline,15,3,Low,HIGHER,550
214,228,Llama-3.1-8B,Baseline,15,4,Low,HIGHER,550
215,229,Llama-3.1-8B,Baseline,15,5,Low,HIGHER,550
216,230,Llama-3.1-8B,Baseline,15,6,Low,HIGHER,550
217,231,Llama-3.1-8B,Baseline,15,7,Low,HIGHER,550
218,232,Llama-3.1-8B,Baseline,15,8,Low,HIGHER,530
219,233,Llama-3.1-8B,Baseline,15,1,High,HIGHER,2000
220,234,Llama-3.1-8B,Baseline,15,2,High,HIGHER,1850
221,235,Llama-3.1-8B,Baseline,15,3,High,HIGHER,1800
222,236,Llama-3.1-8B,Baseline,15,4,High,HIGHER,1750
223,237,Llama-3.1-8B,Baseline,15,5,High,HIGHER,1800
224,238,Llama-3.1-8B,Baseline,15,6,High,HIGHER,1700
225,239,Llama-3.1-8B,Baseline,15,7,High,HIGHER,2200
226,240,Llama-3.1-8B,Baseline,15,8,High,HIGHER,2500
227,257,Llama-3.1-8B,Baseline,17,1,Low,HIGHER,150000
228,258,Llama-3.1-8B,Baseline,17,2,Low,HIGHER,150000
229,259,Llama-3.1-8B,Baseline,17,3,Low,HIGHER,150000
230,260,Llama-3.1-8B,Baseline,17,4,Low,HIGHER,150000
231,261,Llama-3.1-8B,Baseline,17,5,Low,HIGHER,150000
232,262,Llama-3.1-8B,Baseline,17,6,Low,HIGHER,150000
233,263,Llama-3.1-8B,Baseline,17,7,Low,HIGHER,150000
234,264,Llama-3.1-8B,Baseline,17,8,Low,HIGHER,200000
235,265,Llama-3.1-8B,Baseline,17,1,High,HIGHER,150000
236,266,Llama-3.1-8B,Baseline,17,2,High,HIGHER,750000
237,267,Llama-3.1-8B,Baseline,17,3,High,HIGHER,1000000
238,268,Llama-3.1-8B,Baseline,17,4,High,HIGHER,1500000
239,270,Llama-3.1-8B,Baseline,17,6,High,HIGHER,750000
240,271,Llama-3.1-8B,Baseline,17,7,High,HIGHER,700000
241,272,Llama-3.1-8B,Baseline,17,8,High,HIGHER,750000
242,273,Llama-3.1-8B,Baseline,18,1,Low,HIGHER,50
243,274,Llama-3.1-8B,Baseline,18,2,Low,HIGHER,50
244,275,Llama-3.1-8B,Baseline,18,3,Low,HIGHER,50
245,276,Llama-3.1-8B,Baseline,18,4,Low,HIGHER,40
246,277,Llama-3.1-8B,Baseline,18,5,Low,HIGHER,40
247,278,Llama-3.1-8B,Baseline,18,6,Low,HIGHER,40
248,279,Llama-3.1-8B,Baseline,18,7,Low,HIGHER,40
249,280,Llama-3.1-8B,Baseline,18,8,Low,HIGHER,40
250,281,Llama-3.1-8B,Baseline,18,1,High,HIGHER,150
251,282,Llama-3.1-8B,Baseline,18,2,High,HIGHER,150
252,283,Llama-3.1-8B,Baseline,18,3,High,HIGHER,150
253,284,Llama-3.1-8B,Baseline,18,4,High,HIGHER,150
254,285,Llama-3.1-8B,Baseline,18,5,High,HIGHER,120
255,286,Llama-3.1-8B,Baseline,18,6,High,HIGHER,150
256,287,Llama-3.1-8B,Baseline,18,7,High,HIGHER,150
257,288,Llama-3.1-8B,Baseline,18,8,High,HIGHER,120
258,289,Llama-3.1-8B,Baseline,19,1,Low,HIGHER,55000
259,290,Llama-3.1-8B,Baseline,19,2,Low,HIGHER,120000
260,291,Llama-3.1-8B,Baseline,19,3,Low,HIGHER,60000
261,292,Llama-3.1-8B,Baseline,19,4,Low,HIGHER,55000
262,293,Llama-3.1-8B,Baseline,19,5,Low,HIGHER,120000
263,294,Llama-3.1-8B,Baseline,19,6,Low,HIGHER,55000
264,295,Llama-3.1-8B,Baseline,19,7,Low,HIGHER,55000
265,296,Llama-3.1-8B,Baseline,19,8,Low,HIGHER,120000
266,297,Llama-3.1-8B,Baseline,19,1,High,HIGHER,250000
267,298,Llama-3.1-8B,Baseline,19,2,High,HIGHER,250000
268,299,Llama-3.1-8B,Baseline,19,3,High,HIGHER,250000
269,300,Llama-3.1-8B,Baseline,19,4,High,HIGHER,250000
270,301,Llama-3.1-8B,Baseline,19,5,High,HIGHER,250000
271,302,Llama-3.1-8B,Baseline,19,6,High,HIGHER,250000
272,303,Llama-3.1-8B,Baseline,19,7,High,HIGHER,250000
273,304,Llama-3.1-8B,Baseline,19,8,High,HIGHER,250000
274,305,Llama-3.1-8B,Baseline,20,1,Low,HIGHER,1000
275,306,Llama-3.1-8B,Baseline,20,2,Low,HIGHER,1000
276,307,Llama-3.1-8B,Baseline,20,3,Low,HIGHER,1100
277,308,Llama-3.1-8B,Baseline,20,4,Low,HIGHER,1200
278,309,Llama-3.1-8B,Baseline,20,5,Low,HIGHER,1200
279,310,Llama-3.1-8B,Baseline,20,6,Low,HIGHER,1200
280,311,Llama-3.1-8B,Baseline,20,7,Low,HIGHER,1200
281,312,Llama-3.1-8B,Baseline,20,8,Low,HIGHER,1200
282,313,Llama-3.1-8B,Baseline,20,1,High,HIGHER,1800
283,314,Llama-3.1-8B,Baseline,20,2,High,HIGHER,1800
284,315,Llama-3.1-8B,Baseline,20,3,High,HIGHER,1800
285,316,Llama-3.1-8B,Baseline,20,4,High,HIGHER,1800
286,317,Llama-3.1-8B,Baseline,20,5,High,HIGHER,1800
287,318,Llama-3.1-8B,Baseline,20,6,High,HIGHER,1800
288,319,Llama-3.1-8B,Baseline,20,7,High,HIGHER,1800
289,320,Llama-3.1-8B,Baseline,20,8,High,HIGHER,1700
290,322,Llama-3.1-8B,Baseline,21,2,Low,HIGHER,1200
291,323,Llama-3.1-8B,Baseline,21,3,Low,HIGHER,1300
292,324,Llama-3.1-8B,Baseline,21,4,Low,HIGHER,1300
293,325,Llama-3.1-8B,Baseline,21,5,Low,HIGHER,1300
294,326,Llama-3.1-8B,Baseline,21,6,Low,HIGHER,1400
295,327,Llama-3.1-8B,Baseline,21,7,Low,HIGHER,1300
296,328,Llama-3.1-8B,Baseline,21,8,Low,HIGHER,1400
297,329,Llama-3.1-8B,Baseline,21,1,High,HIGHER,1200
298,330,Llama-3.1-8B,Baseline,21,2,High,HIGHER,1400
299,331,Llama-3.1-8B,Baseline,21,3,High,HIGHER,1300
300,332,Llama-3.1-8B,Baseline,21,4,High,HIGHER,1200
301,333,Llama-3.1-8B,Baseline,21,5,High,HIGHER,1300
302,334,Llama-3.1-8B,Baseline,21,6,High,HIGHER,1400
303,335,Llama-3.1-8B,Baseline,21,7,High,HIGHER,1400
304,336,Llama-3.1-8B,Baseline,21,8,High,HIGHER,1400
305,337,Llama-3.1-8B,Baseline,22,1,Low,HIGHER,1800
306,338,Llama-3.1-8B,Baseline,22,2,Low,HIGHER,1800
307,339,Llama-3.1-8B,Baseline,22,3,Low,HIGHER,1800
308,340,Llama-3.1-8B,Baseline,22,4,Low,HIGHER,1800
309,341,Llama-3.1-8B,Baseline,22,5,Low,HIGHER,1800
310,342,Llama-3.1-8B,Baseline,22,6,Low,HIGHER,1800
311,343,Llama-3.1-8B,Baseline,22,7,Low,HIGHER,1500
312,344,Llama-3.1-8B,Baseline,22,8,Low,HIGHER,1800
313,345,Llama-3.1-8B,Baseline,22,1,High,HIGHER,5500
314,346,Llama-3.1-8B,Baseline,22,2,High,HIGHER,5500
315,347,Llama-3.1-8B,Baseline,22,3,High,HIGHER,5500
316,348,Llama-3.1-8B,Baseline,22,4,High,HIGHER,5500
317,349,Llama-3.1-8B,Baseline,22,5,High,HIGHER,5500
318,350,Llama-3.1-8B,Baseline,22,6,High,HIGHER,5500
319,351,Llama-3.1-8B,Baseline,22,7,High,HIGHER,5500
320,352,Llama-3.1-8B,Baseline,22,8,High,HIGHER,6500
321,353,Llama-3.1-8B,Baseline,23,1,Low,HIGHER,250
322,354,Llama-3.1-8B,Baseline,23,2,Low,HIGHER,250
323,355,Llama-3.1-8B,Baseline,23,3,Low,HIGHER,250
324,356,Llama-3.1-8B,Baseline,23,4,Low,HIGHER,250
325,357,Llama-3.1-8B,Baseline,23,5,Low,HIGHER,250
326,358,Llama-3.1-8B,Baseline,23,6,Low,HIGHER,250
327,359,Llama-3.1-8B,Baseline,23,7,Low,HIGHER,250
328,360,Llama-3.1-8B,Baseline,23,8,Low,HIGHER,250
329,361,Llama-3.1-8B,Baseline,23,1,High,HIGHER,800
330,362,Llama-3.1-8B,Baseline,23,2,High,HIGHER,800
331,363,Llama-3.1-8B,Baseline,23,3,High,HIGHER,800
332,364,Llama-3.1-8B,Baseline,23,4,High,HIGHER,800
333,365,Llama-3.1-8B,Baseline,23,5,High,HIGHER,800
334,367,Llama-3.1-8B,Baseline,23,7,High,HIGHER,800
335,368,Llama-3.1-8B,Baseline,23,8,High,HIGHER,750
336,385,Llama-3.1-8B,Baseline,25,1,Low,HIGHER,1200
337,386,Llama-3.1-8B,Baseline,25,2,Low,HIGHER,600
338,387,Llama-3.1-8B,Baseline,25,3,Low,HIGHER,550
339,388,Llama-3.1-8B,Baseline,25,4,Low,HIGHER,550
340,389,Llama-3.1-8B,Baseline,25,5,Low,HIGHER,600
341,390,Llama-3.1-8B,Baseline,25,6,Low,HIGHER,1200
342,391,Llama-3.1-8B,Baseline,25,7,Low,HIGHER,1200
343,392,Llama-3.1-8B,Baseline,25,8,Low,HIGHER,650
344,393,Llama-3.1-8B,Baseline,25,1,High,HIGHER,2500
345,394,Llama-3.1-8B,Baseline,25,2,High,HIGHER,2500
346,395,Llama-3.1-8B,Baseline,25,3,High,HIGHER,2500
347,396,Llama-3.1-8B,Baseline,25,4,High,HIGHER,2500
348,397,Llama-3.1-8B,Baseline,25,5,High,HIGHER,2500
349,398,Llama-3.1-8B,Baseline,25,6,High,HIGHER,2500
350,399,Llama-3.1-8B,Baseline,25,7,High,HIGHER,2500
351,400,Llama-3.1-8B,Baseline,25,8,High,HIGHER,2500
352,401,DeepSeek-V3.1,Baseline,1,1,Low,HIGHER,10000
353,402,DeepSeek-V3.1,Baseline,1,2,Low,HIGHER,5000
354,403,DeepSeek-V3.1,Baseline,1,3,Low,HIGHER,10000
355,404,DeepSeek-V3.1,Baseline,1,4,Low,HIGHER,10000
356,405,DeepSeek-V3.1,Baseline,1,5,Low,HIGHER,5000
357,407,DeepSeek-V3.1,Baseline,1,7,Low,HIGHER,15000
358,408,DeepSeek-V3.1,Baseline,1,8,Low,HIGHER,10000
359,409,DeepSeek-V3.1,Baseline,1,1,High,HIGHER,12000
360,410,DeepSeek-V3.1,Baseline,1,2,High,HIGHER,12000
361,411,DeepSeek-V3.1,Baseline,1,3,High,HIGHER,11000
362,412,DeepSeek-V3.1,Baseline,1,4,High,HIGHER,12000
363,413,DeepSeek-V3.1,Baseline,1,5,High,HIGHER,10000
364,414,DeepSeek-V3.1,Baseline,1,6,High,HIGHER,12000
365,415,DeepSeek-V3.1,Baseline,1,7,High,HIGHER,10000
366,416,DeepSeek-V3.1,Baseline,1,8,High,HIGHER,11000
367,417,DeepSeek-V3.1,Baseline,2,1,Low,HIGHER,13
368,418,DeepSeek-V3.1,Baseline,2,2,Low,HIGHER,16
369,419,DeepSeek-V3.1,Baseline,2,3,Low,HIGHER,14
370,420,DeepSeek-V3.1,Baseline,2,4,Low,HIGHER,15
371,421,DeepSeek-V3.1,Baseline,2,5,Low,HIGHER,12
372,422,DeepSeek-V3.1,Baseline,2,6,Low,HIGHER,15
373,423,DeepSeek-V3.1,Baseline,2,7,Low,HIGHER,15
374,424,DeepSeek-V3.1,Baseline,2,8,Low,HIGHER,14
375,425,DeepSeek-V3.1,Baseline,2,1,High,LOWER,16
376,426,DeepSeek-V3.1,Baseline,2,2,High,LOWER,16
377,427,DeepSeek-V3.1,Baseline,2,3,High,LOWER,16
378,428,DeepSeek-V3.1,Baseline,2,4,High,LOWER,16
379,429,DeepSeek-V3.1,Baseline,2,5,High,LOWER,16
380,430,DeepSeek-V3.1,Baseline,2,6,High,LOWER,15
381,431,DeepSeek-V3.1,Baseline,2,7,High,LOWER,15
382,432,DeepSeek-V3.1,Baseline,2,8,High,LOWER,15
383,433,DeepSeek-V3.1,Baseline,3,1,Low,HIGHER,115
384,434,DeepSeek-V3.1,Baseline,3,2,Low,HIGHER,130
385,435,DeepSeek-V3.1,Baseline,3,3,Low,HIGHER,130
386,436,DeepSeek-V3.1,Baseline,3,4,Low,HIGHER,137
387,437,DeepSeek-V3.1,Baseline,3,5,Low,HIGHER,137
388,438,DeepSeek-V3.1,Baseline,3,6,Low,HIGHER,135
389,439,DeepSeek-V3.1,Baseline,3,7,Low,HIGHER,125
390,440,DeepSeek-V3.1,Baseline,3,8,Low,HIGHER,135
391,441,DeepSeek-V3.1,Baseline,3,1,High,HIGHER,264
392,442,DeepSeek-V3.1,Baseline,3,2,High,HIGHER,270
393,443,DeepSeek-V3.1,Baseline,3,3,High,HIGHER,280
394,444,DeepSeek-V3.1,Baseline,3,4,High,HIGHER,280
